document_no,dominant_topic,topic_perc_contrib,keywords,text
10,4,0.6658,"release, mission, buy, full, wait, content, episode, pay, money, go","i have never seen such a disastrous steam launch. from the servers that don't work, to the overpriced editions of this game, all the way to messy region pricing. i can't even access my hitman 1+2 content in the hitman 3 demo, like how i could for epic's hitman 3 starter pack when i got hitman 1 on epic for free.

it's sad how they gave up on hitman 2's ghost mode only to put zero effort in their broken vr mode."
11,4,0.5557,"release, mission, buy, full, wait, content, episode, pay, money, go",Releasing a game at full price a full year after originally releasing it under an anti-consumer store exclusivity deal is ridiculous. If the developer wants to be unethical then I will respond in an unethical way and obtain the game through other means. Thanks Codex!
12,4,0.5012,"release, mission, buy, full, wait, content, episode, pay, money, go",This obivous scam tactic deserves no appreciation. Scumbags IOI. First pulling off epic crapstore exclusivity then releasing a scam for VR and steam... Go rot in hell.
13,4,0.653,"release, mission, buy, full, wait, content, episode, pay, money, go",You don't respect the Steam audience. You don't respect the fans who have all your games in their collection. You spit on those who waited a whole year to add the game to  collection. Basically I will not buy until you reconsider your attitude. greed is bad!!!!!
14,2,0.3957,"online, server, always, save, connection, offline, mode, lose, connect, need",Hitman PCVR doesn't have Room-scale in 2022. It's a bad PSVR Port. A cash grab from IOI with the least amount of effort from their development team. Don't buy this game for VR on PC its a dumpster fire of a release.
15,4,0.6187,"release, mission, buy, full, wait, content, episode, pay, money, go",Price was increased after steam release. It's the worst VR mode ever made. Don't buy this game.
16,4,0.6204,"release, mission, buy, full, wait, content, episode, pay, money, go","Until the developer begins to respect the fans of his game, he does not deserve more appreciation."
17,2,0.5583,"online, server, always, save, connection, offline, mode, lose, connect, need","There's really no point in playing this game in its current state. I love the Hitman games but they require you to be online and it is impossible to connect to their servers. This means no progression, unlocks, or achievements whatsoever and you can't load your content from previous games because you can't connect. Unless the developers fix the overloaded server issue, save your money and don't buy this game."
18,3,0.5808,"run, crash, freeze, title, update, minute, driver, launch, stage, load",There's no russian language in this game. And the price is too high for it. Especially in Russia.
19,0,0.7386,"level, way, feel, mission, map, time, make, kill, blood, target","When will the Danish learn?? Hitman became James Bond in 2016 and Hitman 3 just continues the same bond game ever since. Just give us Blood Money 2 with Last of Us 2 gore system! But yeah no, turns out James Bond is in your DNA all along.."
20,4,0.4474,"release, mission, buy, full, wait, content, episode, pay, money, go","This game is the worst game of the trilogy. Berlin, China and train levels are just bad. I finished first two game all achievements but in Hitman 3 I even do not want to play after some point. I had total 300 hours play in first two game. In Hitman 3 I could not play more than 20 hours. Game just bad. Pricing, greedy DLC releases and steam map carry over disaster in the launch will also not gonna be forgotten"
21,0,0.5379,"level, way, feel, mission, map, time, make, kill, blood, target",[SPOILER ALERT: This review contains spoilers.]
22,2,0.3458,"online, server, always, save, connection, offline, mode, lose, connect, need","Good game but No subtitles or dubbing in Pt-Br in the middle of 2021.

No chance.

It's not worth it, don't buy it."
23,4,0.5729,"release, mission, buy, full, wait, content, episode, pay, money, go","DON'T buy Deluxe Edition! It's a waste of money. All Escalations are so bad and boring, It is not worth the money spent, Also I found multiple bugs in the two last missions"
24,4,0.5048,"release, mission, buy, full, wait, content, episode, pay, money, go","Yes, the game is  Fun.
But this content is absolute ridiculous, like it could be a 20$ Dlc for Hitman 2 lol
The graphics are the same in all 3 Games. i cant believe i spent 50$ and not even on steam.
Yeah and the biggest Joke is you need always to be online? What the heck its a single player game."
25,0,0.583,"level, way, feel, mission, map, time, make, kill, blood, target",Just tried Hitman 3 lately and was quite disappointed. Especially the price tag is too high in my opinion.
26,0,0.4143,"level, way, feel, mission, map, time, make, kill, blood, target","Ridiculously low quality. As someone who has played almost every single game in the Hitman franchise and put over  300 hours into Hitman 3,I am extremely disappointed with this game. There are jarring bugs at every turn making even the most simple task impossible. Not only this, but on maps that have been in this game for over 4 years there are still bugs they have yet to fix. I really hope they can improve this game, but at this state it is completely unplayable."
27,2,0.3583,"online, server, always, save, connection, offline, mode, lose, connect, need",a  disappointing  end to the hitman 3 trilogy  a decline in the quality of  featured contracts  spotty server connection bugged trophy's for  the players who  try and 100% complete everything  I pre ordered it to  have things unlocked  for the elusive targets and frankly I don't think its worth what I paid  and its definitely not worth the addition  30 bucks for the deluxe  dlc that just  re skins of  existing  items
28,4,0.4118,"release, mission, buy, full, wait, content, episode, pay, money, go","Thank you, this game is like a slap in the face, you bought two add-ons with the Russian language, so buy the third one without it, more like a criminal behavior."
29,0,0.4664,"level, way, feel, mission, map, time, make, kill, blood, target","Man this game would be fantastic if the last update hadn't broken it. It crashes anywhere from 5-45 minutes after launching. Makes contracts, escalations, elusive targets, and anything you can't save during basically impossible to do. Reaching out to IOI or trying to find help on the forums is like shouting into a hole.
Pros: Couldn't tell you, game crashes too quickly to tell.
Cons: Crashes quickly."
30,4,0.4542,"release, mission, buy, full, wait, content, episode, pay, money, go","If you LOVED Hitman 1&2 you will... kinda like this?! It's an okay game I guess. Known formula, less content (or so it feels to me). Subtracting 1 point because Epic Games Launcher at least for me is buggy as hell (needed 2 hours to get the game working at all; at second start it doesn't recognize installation folder). Subtracting another point because close to a month after game launch locations from Hitman 1&2 are still not accessible in Hitman 3 (and I think it's a bit misleading that they advertise that progress can be transferred - I personally thought this means maps as well and would not have bought).
Overall I think this is pretty clearly on the DO NOT buy list."
31,4,0.6018,"release, mission, buy, full, wait, content, episode, pay, money, go",Please i need poland language add it before steam version release         .
32,0,0.5352,"level, way, feel, mission, map, time, make, kill, blood, target","I am a stealth fun and often using stealth is most of the game, where it not required but just an option, like Dishonored, Deus Ex, Skyrim, Cyberpunk and you name it. This one I simply could not get. Weird controls mechanics, totally scripted world. Graphics reminded me GTA 4 maybe, or I don't know how to describe but you can call it beautiful but in the same time - lack or details perhaps, which makes everything look plain and unnatural.
What I can say for sure, it is definitely NOT a game for stealth lovers. It is a game for Hitman lovers and only for them. If you not sure if you want to buy it or not and never played Hitman before, then buy Hitman 2, which is available for around 5€ nowadays. Graphics there is almost exactly the same, as well as mechanics and everything else, just story and levels are different. And if you don't really like Hitman 2, there is absolutely no reason to waste 60€ on Hitman 3.
And yes, on top of everything else, this game is also incredibly short. Like many people said here already it is more like Hitman 2 DLC which barely worth 20€."
33,4,0.5005,"release, mission, buy, full, wait, content, episode, pay, money, go","BROKEN GAME

Purchased the deluxe version and by now I’ve uninstalled the game. Hitman 1/2 are still unavailable to play through hitman 3 and my progress was wiped. The bugs are constant and the game feels like it wasn’t worth anywhere close to full price"
34,3,0.3719,"run, crash, freeze, title, update, minute, driver, launch, stage, load",Where is the Russian localization? At least subtitles ?! **** it really that hard?
35,0,0.3562,"level, way, feel, mission, map, time, make, kill, blood, target",This game is terrible. The missions are short and boring. This is one of the worst games ever.
36,2,0.436,"online, server, always, save, connection, offline, mode, lose, connect, need",I love Hitman's playstyle. $60 games shouldn't be this short and you shouldn't force online play for a single player game. Regrettable decision guys
37,3,0.3385,"run, crash, freeze, title, update, minute, driver, launch, stage, load","I am curious, why metacritic deletes 0 score reviews on Hitman 3. Thought i wouldn't notice this?"
38,0,0.8081,"level, way, feel, mission, map, time, make, kill, blood, target","very short, little bit boring. In my opinion outdated graphics, game looks plastic"
39,0,0.7746,"level, way, feel, mission, map, time, make, kill, blood, target","Same graphics, less missions and smaller **** this supposed to be a new game or the most lazy **** I've seen in the Hitman franchise"
40,0,0.4899,"level, way, feel, mission, map, time, make, kill, blood, target","Same menu, same music as in 1.75.  The graphics are uglier.  Ai is dumber than ever, completely deaf and often buggy.  Bad scripts.  Buggy blockages, collisions.  8 hours playing without opportunity use. Only the target , killing unnoticed,
on professional level.
No development and fixing has been made, but the skin shader and ai got worse.
This is an unassuming clash of sht.
60 euros ?
Fck you io."
41,4,0.3864,"release, mission, buy, full, wait, content, episode, pay, money, go","Utterly pathetic how the DEVS are here downvoting all the CORRECT CRITICAL REVIEWS and UPVOTING OBVIOUS 10 RATINGS

You guys know we can see, right lol??

I feel bad for this new generation of gamers if this is what they think is the future. You're paying for an 80 dollar expansion... Wake up, that's what were **** about

Sorry we have a brain and don't want to pay for a lack of CONTENT. This has six new maps, that's it.. What a joke of a company you are Eidos"
42,0,0.6427,"level, way, feel, mission, map, time, make, kill, blood, target","This game is 6 hours long, Carl. 6 hours. Not to mention that theres less mechanics than in previous swries wich was outdated already."
43,3,0.5214,"run, crash, freeze, title, update, minute, driver, launch, stage, load",This game feels like an extension. Dated cut scenes. Dated engine. Playing feels a bit like slo-mo. Very linear. Constant crashing trows fun out of a window. Expected more from Hitman 3.
44,2,0.6307,"online, server, always, save, connection, offline, mode, lose, connect, need",Cant even play the game. Single player game that requires connection to a server and the server fails to fetch version information every single time. Has been like this since release.
45,4,0.5283,"release, mission, buy, full, wait, content, episode, pay, money, go",Just mind this: YOU CAN COMPLETE THIS GAME IN UNDER A MINUTE. That's a representation of the content this game offers. 60 bucks for the same game for the third time. Shame!
46,0,0.5379,"level, way, feel, mission, map, time, make, kill, blood, target",[SPOILER ALERT: This review contains spoilers.]
47,0,0.33,"level, way, feel, mission, map, time, make, kill, blood, target","Don't buy this if you want to play it in VR it doesn't let you use the move controllers so it doesn't even feel like playing a vr game, instead just some **** game in a really crappy vr headset where you cant even use your hands."
48,4,0.4465,"release, mission, buy, full, wait, content, episode, pay, money, go",EIGHTY quid for a hitman 2 DLC with only five and a third levels? - three of which are rehashes of previous content. plus not even on steam.
49,2,0.5817,"online, server, always, save, connection, offline, mode, lose, connect, need","The good - it's pretty, the gameplay is Hitman.
The bad - it's unplayable.  It's an always-online single-player game without any servers.  If you manage to connect, you might get 20-25 minutes gameplay before you're disconnected, lose your progress, and have to put down the game."
50,4,0.3468,"release, mission, buy, full, wait, content, episode, pay, money, go","I thought Cyberpunk was bad then hitman 3 arrived.
Graphics are straight outta 2010 wth?
Then the developers came here with fake 10s lol. If you spent your time working on this half-assed boring game *DLC* instead of registering to the site it wouldn't have tanked to 6.5."
51,0,0.4992,"level, way, feel, mission, map, time, make, kill, blood, target","The story in this game is awful.... I can't even describe how disappointed I'm. After playing several levels felt a huge urge to stop playing take a shower and read some classic literature books instead... I think after this piece of **** really... I stop playing for a while and back to cultural time spending. Game authors succeed only in one thing - convinced me to not spend too much time on poor quality things like their game scenario.

PS: Feel sorry for the artists. They did an excellent job."
52,0,0.9465,"level, way, feel, mission, map, time, make, kill, blood, target","Seriously dozens of 10 out of 10 it's one of them games . tens v Zeroes, score usually works out right when this happen.
Dude what am I missing about the Hitman games they are so boring. You walk around slowly until you find what to press on and then you press on it or pick it up and move it and then keep walking around until you find the next thing to interact with. The things that are fun I considered a failure if you get to a gunfight you get less points and stuff. Who is this game for seven year old people that don't like fun and excitement it's so boring"
53,2,0.5153,"online, server, always, save, connection, offline, mode, lose, connect, need",Relatively little content for the price. And the gameplay is consistently ruined by the hassle of always online.
54,0,0.4819,"level, way, feel, mission, map, time, make, kill, blood, target","$60 for half a **** game.

This isn't Hitman 3, this is an expansion pack for Hitman 2 with some improvements. You'll finish the game in a day.

If I'd paid $30 for this that would be fair but there's half the levels here that were in the first two.

Then there's the story, built up so much in the second one and it ends with a massive wet fart honestly. The villain from the last one magically escapes and you have to track him down.. that's it. Woke token black female added for good measure that somehow takes up an inordinate amount of screen time. **** off.

Rip Hitman series, it was a good run."
55,0,0.6847,"level, way, feel, mission, map, time, make, kill, blood, target","this company IO has made the worst iterative changes possible in any video game series. Having perfected the gameplay in Hitman:SA; they've continually stripped and re-added features, from the hideous crawling simulation Hitman Crab-Solution to the barren ""Hitman"" series we know now. This game is closest to SA, although w/o the 1PP camera & advanced AI from that game. Things I hate about new Hitman series and this game are as follows:
- no 1PP camera, absolutely ruins the game from the getgo, the old series was one of the best 1PP in any video game ever. great pacing.
- lazy online focus, SPG so why crappy user missions, 'leaderboards' (all fake w/o exception) and timed garbage DLC - **** off no one cares about that ****
-reduced AI / nerf'd awareness. might as well play with an aimbot / wallhack.
- reduced complexity and systems in every map compared to older games.
Basically it's a Mafia sitiation, where the new devs just aren't as talented as the old devs who work in the indie space now."
56,2,0.6042,"online, server, always, save, connection, offline, mode, lose, connect, need","Constant disconnects making me lose progress. Missing Hitman 2 content makes it very noticeable how much shorter this game is compared to 1 & 2. A few of the maps are good but the game is just destroyed by bad publishing decisions & online only systems.
The offline mode is practically useless because you literally cannot save a single thing you do."
57,0,0.5103,"level, way, feel, mission, map, time, make, kill, blood, target","I would love, LOVE, to give this a high score, i loved the past two games, they were absolutely brilliant... and then I went to play this one on release day. The game didn't open, every time it threw an error, so I went to Epic contact for help (I'm playing the Epic Games version on PC, not console). After over 2 days of various attempts to fix whatever the error is, still nothing, not one thing has changed, the game will still not open, and I don't even know what the problem is. This isn't to say the helpers weren't good, they were patient and tried their best to get the game working for me, but the fact that the game is so broken that after 2 days of help, and 6-7 different helpers giving their opinions on ways to fix it, and I'm still getting the exact same error as before I even asked for help, then something's gone wrong. I have never once had issue with the steam versions of Hitman 1 or 2, and have played many much more technically taxing games on my rig with no issues, and this game won't even start up. it's a shame, I was really looking forward to this game."
58,0,0.5027,"level, way, feel, mission, map, time, make, kill, blood, target",I get it. It takes awhile to design these levels and all the in's and outs of them and the many ways you can complete them but overall this game is completely beyond lazy. Since Absolution came out the engine has basically been the exact same. Hitman 2016 looking COMPLETELY identical to Hitman 2 and 3 with nothing at all being changed or implemented. This game is not worth $60. You have made people pay $180 to own all 3 games that are the EXACTTTTTTT. SAME GAME. It is unfair that you refuse to change anything in the game. Hitman codename 47 up until blood money were all completely different and unique in their own way. Sounds to me like Square Enix is getting knsanely greedy.
59,3,0.4655,"run, crash, freeze, title, update, minute, driver, launch, stage, load","AI is totally awful, they're barely responding to a crime when they see a dead person. Also, there's no breaking neck animation, if there's no neck break animation why we're breaking people's necks? It doesn't make sense. Good graphics with bad animations, it doesn't deserve $60. It supposed to be around $40 or $45, not more than that."
60,4,0.4425,"release, mission, buy, full, wait, content, episode, pay, money, go","One of my favorite all-time games despite not liking the clownish parts of older versions. This new trilogy is great, I definitely want to see more with more abilities, tech, etc. but really happy to be playing another Hitman game"
61,0,0.8289,"level, way, feel, mission, map, time, make, kill, blood, target","I either follow all the objective markers telling me exactly how to kill someone and it feels like I'm just being handheld and i don't have any input, or, I walk in and shoot the guy in the face and I feel bad for not following the fancy, planned, cool assassinations. Personally, this game leaves me with no satisfying ways to play it."
62,0,0.364,"level, way, feel, mission, map, time, make, kill, blood, target",Really didn't like the bit where I had to buy all this content again to play the second and third sets of levels
63,4,0.5265,"release, mission, buy, full, wait, content, episode, pay, money, go",Game too short and felt incomplete even with all the DLC.
64,0,0.6837,"level, way, feel, mission, map, time, make, kill, blood, target","Title: ""Missed the Mark: A Disappointing Hitman Experience""

As an avid gamer who has always appreciated the stealth-action genre, I eagerly anticipated diving into the world of Hitman. However, after spending several frustrating hours with the game, I'm left utterly disappointed and underwhelmed.

Firstly, let's talk about the graphics. While they're not terrible, they're certainly not groundbreaking either. The environments lack depth and detail, often feeling like cheap cardboard cutouts rather than immersive worlds. Character models are stiff and lack personality, making it hard to connect with any of the NPCs.

But visuals aren't everything, right? Unfortunately, the gameplay doesn't make up for the lackluster graphics. Hitman boasts about offering players multiple ways to eliminate their targets, but in reality, it feels like you're stuck following a linear path with minimal room for creativity. The AI is laughably predictable, with enemies failing to react realistically to your actions. It's as if they're programmed to be oblivious to anything happening around them.

The controls are another sore point. They feel clunky and unresponsive, making even simple tasks like aiming and shooting a chore. Movement is sluggish, and the camera angles often hinder rather than aid your progress. It's frustrating to be constantly fighting against the controls, detracting from any enjoyment the game might offer.

And let's not forget about the story—or lack thereof. Hitman fails to deliver a compelling narrative, leaving players feeling disconnected from the world and its characters. There's no sense of urgency or stakes, making it hard to care about the outcome of your missions.

Overall, Hitman is a missed opportunity. With its lackluster graphics, uninspired gameplay, and forgettable story, it fails to live up to the hype. Save your money and invest in a game that offers a more satisfying experience."
65,0,0.4243,"level, way, feel, mission, map, time, make, kill, blood, target","Using a newer controller my triggers have stopped working, which is kind of an issue when I want to get an achievement for.... using a silenced pistol or sniping. I think the hitman games are great but between this issue and everything with WOA imma give it a thumbs down, I do think it's a good game though with interesting locations."
66,4,0.6589,"release, mission, buy, full, wait, content, episode, pay, money, go",Zzz.... Boring. And don't even get me started on the expensive DLC missions. Base game is like 3 hours of gameplay max.
67,4,0.6124,"release, mission, buy, full, wait, content, episode, pay, money, go","I can't buy HITMAN 3, without owning HITMAN: WORLD OF ASSASINATION, even though I own HITMAN 1 + 2 separately (with all available DLC), meaning I have to essentially pay for 1 + 2 again. To own HITMAN 3, I am supposed to pay 27.99 (sale price, as of writing - normal price: 60, whereas HITMAN 3 is currently on sale for 6.99 (normal price: 9.99). If this confuses you, they were successful. Absolute scumbag move, do not support this. This is not the only time that they've done this either, see the original purchasing options. Scumbags."
68,0,0.2,"level, way, feel, mission, map, time, make, kill, blood, target","Su-24, but no F-14D Tomcat"
69,3,0.3527,"run, crash, freeze, title, update, minute, driver, launch, stage, load","""HITMAN,"" part of the World of Assassination trilogy, is widely recognized for its intricate sandbox levels and deep strategic gameplay, where players assume the role of the iconic Agent 47. However, while the game boasts impressive technical achievements and gameplay mechanics, it also encounters several issues that might detract from its overall enjoyment for some players.

Episodic Release Structure: One of the primary criticisms of ""HITMAN"" was its episodic release structure. While this format aimed to provide players with a steady stream of content, it was met with mixed reactions. Some players felt that this fragmented the game's narrative continuity and delayed their ability to fully engage with the content. The episodic nature meant waiting periods between missions, which could disrupt the gameplay experience and immersion.

Performance and Technical Issues: Despite the high-quality graphics and detailed environments, ""HITMAN"" experienced various technical issues at launch and beyond. Players reported bugs that ranged from minor graphical glitches to more severe problems that affected gameplay, such as AI inconsistencies and mission-triggering errors. These issues could significantly impact the player's experience, especially in a game where precision and flawless execution are crucial.

Repetitive Gameplay: While replayability is often cited as a strength due to the multitude of ways to complete missions, some players found the gameplay to become repetitive. To achieve high scores and complete all challenges, replaying the same level numerous times is necessary, which can feel tedious and monotonous for those looking for a more varied and continuously evolving gameplay experience.

Lack of Narrative Depth: The episodic format also affected the game’s narrative, which some players felt was too sparse and disjointed. Those accustomed to more story-driven games might find ""HITMAN""'s narrative lacking, as the focus primarily rests on gameplay mechanics and level design rather than story development.

Limited Content at Launch: When ""HITMAN"" initially launched, the content available was limited, with more missions and locations released gradually over time. This staggered content release left early adopters feeling like they had purchased an incomplete game, leading to dissatisfaction among players who expected a full game experience from the outset.

Conclusion

In conclusion, while ""HITMAN"" offers a sophisticated and immersive stealth gameplay experience with beautifully crafted levels and a high degree of player freedom, it is not without its flaws. The episodic release format, technical issues, repetitive gameplay, underdeveloped narrative, and sparse initial content can detract from the game's overall appeal. These factors are important considerations for players who value a seamless and comprehensive gaming experience from day one."
70,4,0.4015,"release, mission, buy, full, wait, content, episode, pay, money, go","A purchase is a vote. I wanted to play this game again, but I can't vote for the greed of company. Purchase/porting guide? Nope, I'm an ordinary player, I pay for game experience I want, distinguishing the confusing versions and porting data are like extra work without payment, they are just not my business. Bye, Hitman."
71,0,0.4277,"level, way, feel, mission, map, time, make, kill, blood, target",For the game/episode situation.
72,2,0.455,"online, server, always, save, connection, offline, mode, lose, connect, need","Fool me once, shame on you."
73,0,0.3594,"level, way, feel, mission, map, time, make, kill, blood, target","Hitman 2016 is an excellent stealth assassination game where they took everything great about absolution and made the assassination maps even better, the amount of content in the game as well as the hallmark flexibility to approach each mission in a different way is the highlight.

However, this version is busted with no progression carry over, no upgrade path to WOA and no possibility to get missing DLC.

This version is not the GOTY version so even getting this for free there are extra missions that cannot be played because it is locked as DLC... which is impossible to obtain because Steam scrubbed it from the store.

There is no upgrade path because Hitman 2 is also scrubbed from the store, the only thing on the store is Hitman WOA which means that I would have to pay IOI again to get the definitive version with no discount. Additionally, even if I were to get WOA, progression is not carried over so that is even less incentive to get WOA.

The game is great, but I can see how IOI screwed people over."
74,4,0.4353,"release, mission, buy, full, wait, content, episode, pay, money, go",It got turned into demo.
75,0,0.6325,"level, way, feel, mission, map, time, make, kill, blood, target","I'm a big fan of Hitman, but can't compare this version to the Absolution.
Graphics, interface, everything got worse. Like completely different graphic engine. I went through entire Absolution and this Hitman too so I can make comparison easily - Hitman Absolution is much much better than this version."
76,4,0.7316,"release, mission, buy, full, wait, content, episode, pay, money, go","For everyone that bought this game very unlucky, you are now obliged to buy hitman 3 if you want to play this game since you only have access to 3 missions total on this one.
Dirty move from the IO Interactive"
77,0,0.4283,"level, way, feel, mission, map, time, make, kill, blood, target","Hitman, but with a silent ""S"""
78,4,0.7313,"release, mission, buy, full, wait, content, episode, pay, money, go","Gentlemen, this is a very confusing situation, I'll explain it now.

Initially, IOI wanted to make a full-fledged Hitman and planned to release it by 2017-18. But the publisher could not allow such a long-term construction, because 4 years have passed since the Absolute. It was decided to split the first half of the game into episodes, so that interest would warm up with each episode and the game could be released earlier. And so Hitman 2016 was rolled out. But that's not all. The developers quarreled with the publisher and went for free bread, but not for long, because they found a new publisher and he gave them a full deck of cards. As a result, IOI released Hitman 2 on November 9, 2018, which has Hitman 2016 fully embedded, yes, all missions from there and all DLC. This is exactly how HITMAN was originally conceived, Hitman 2016 and Hitman 2 are one full-fledged game. Therefore, do not buy Hitman 2016 now, buy Hitman 2.

No, I understand everything that the developers wanted to make a full-fledged game, but the publisher did not give it, but what should the players who bought Hitman 2016 do? But there are a lot of them. Why did they embed the first part into the second, making them one game? Moreover, then why don't they give Hitman 2016 owners a 50% discount on Hitman 2? Some kind of crap.

Here you went to the Hitman 2 menu, and there are 4 chapters: the prologue (those cardboard training sessions on a yacht with a Negro and a Soviet base with a chess player); hitman 1 (all missions from the 2016 game with all dlc, the presence of the most purchased version of Hitman 2016 is not required, buy HITMAN - GOTY Legacy Pack for 435 rubles and you will save a whole 1000 rubles); hitman 2 (completely new maps, new dlc); agent 0 (he was also in Hitman 2016). And you're like, ""Wat? Seriously? 1/4 new content? Sirisley?""

And what can I say about the Hitman 2 missions played by Early access holders? Yes, the missions are cool, everything is great and fun, the maps are big and there is a lot of variety. Buy Hitman 2, if you didn't take this episodic squalor. And if they did, well, what can you do, swear, drink tea.

What is the result? And h*rt knows him, it seems to be good, but he plays well. It feels like you've been fucked, but the new content mitigates the pain.

UPD: So the 3rd part in the Steam came out and it stands like a skyscraper from the first mission. Yeah, for these prices, the developers' wives should come to me and do m*no while I'm playing this game. It's just some kind of tin. We are waiting for the normal full version with all DLC at an adequate price. And if you are suicidal, you can buy Hitman 3 Deluxe Edition and DLC about sins, in the amount of 5.5 k rubles will be released. It's just a***. And if you have not bought the previous parts with all the additions, then you will pay 8.3 k rubles for the full version of part 3, since you need to take the Trilogy version and the Addon bundle with DLC about sins.

The game itself is certainly good, no doubt, but IOI's attitude towards its audience is tinny.

You know, when publishers were having nightmares about IOI, the prices were lower, the Russian language was at the start, everything worked, the episodic system as a whole could be forgiven. And now there is no publisher and everything has gone to the female reproductive organ. IOI, I grew up playing your games, you broke old's heart. I hate you now, this is the last part of Hitman and she's gone shitting herself. Thanks, go fuck yourself."
79,2,0.4696,"online, server, always, save, connection, offline, mode, lose, connect, need","a lot of game features are locked behind online play which include even higher difficulty 
"
