document_no,dominant_topic,topic_perc_contrib,keywords,text
10,3,0.4149,"horror, time, enemy, feel, level, look, go, make, shoot, really","Mediocre mid 2000s FPS game, not worth the hype.

Best part of it is the lighting."
11,1,0.5223,"run, work, fix, even, issue, try, make, problem, new, fps","The game is absolutely amazing but I can't stand having to get out my my chair to unplug and replug my mouse every 10 minutes to reset the progressively terrible framerate just because I decided to get a Logitech mouse, the framerate makes the game unplayable and having to check on it every so often makes the game a chore more than an experience."
12,2,0.5839,"story, scary, buy, way, series, boring, repetitive, whole, make, first","My first time playing the game. I love it, it's genuinely phenomenal, I played it through on extreme to really get the most out of the A.I because a lot of people went on about the A.I, yeah they're really fun to fight against. game looks nice, sounds good, feels good. Really great game.

Now, you're probably wondering why I'm not recommending this after talking about how much I love it, fair question, because...

This shit right here is a scam. The fact that I can't buy the first game with it's DLC separately to the rest of the franchise is a stupid mistake on the part of whoever is responsible for it being sold this way. Doesn't bother me though, I just bought the product I actually wanted and not what I didn't want off a totally legitimate and professional key selling site for 99p. Your loss.

Either way, Get the game, the game good"
13,4,0.3687,"fear, buy, worth, well, even, great, sale, bundle, really, price",Can't play 5 minutes without a crash to desktop. Areas fail to load properly and become impossible to proceed
14,2,0.2909,"story, scary, buy, way, series, boring, repetitive, whole, make, first",not as good as i thought it would be
15,3,0.3431,"horror, time, enemy, feel, level, look, go, make, shoot, really","lagging every mission change, annoying checkpoints"
16,4,0.5544,"fear, buy, worth, well, even, great, sale, bundle, really, price",shit my pants :(
17,4,0.6314,"fear, buy, worth, well, even, great, sale, bundle, really, price",Great game get it out of the bundle you sleazebags
18,2,0.3962,"story, scary, buy, way, series, boring, repetitive, whole, make, first","A timeless classic of FPS gameplay. Highly recommend it if you want an enjoyable story, enemy AI that feels dynamic and intelligent (mostly through intelligent level design), and good combat in a tight package.

With that being said - it has been removed from sale on Steam unless you buy a $55 package, and the sequels range from ""mediocre"" to ""absolute garbage."" If you get it from an old code elsewhere or such, I hope you have fun, but I would never buy the bundle to get access to this nearly 20 year old title."
19,2,0.4701,"story, scary, buy, way, series, boring, repetitive, whole, make, first","if you've played half life and wolfenstien young blood before this, youre probably gonna get bored of it as the story is slow and mediocre"
20,4,0.6146,"fear, buy, worth, well, even, great, sale, bundle, really, price","aged like milk, but f.e.a.r. 2 really good imo, but not avaliable in my region, so i cant write good review :("
21,0,0.6353,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",Beast GAERM EVAR
22,2,0.4291,"story, scary, buy, way, series, boring, repetitive, whole, make, first","Warner Brothers sucks, game is great, but don't get their overpriced bundle just for it, obtain it elsewhere."
23,1,0.4261,"run, work, fix, even, issue, try, make, problem, new, fps",Had trouble playing it on my computer. I got stuttering every 30 seconds or so. I tried to fix it but the easiest solution was to buy it elsewhere.
24,1,0.5547,"run, work, fix, even, issue, try, make, problem, new, fps",Unplayable on a 3070 Ti.
25,2,0.7543,"story, scary, buy, way, series, boring, repetitive, whole, make, first",Got this because i enjoyed Trepang2. Didnt enjoy it as much as i wanted me to enjoy it
26,4,0.4637,"fear, buy, worth, well, even, great, sale, bundle, really, price",Game hasnt scared me tbh and the shoting aspect just wasnt for me idk
27,1,0.3618,"run, work, fix, even, issue, try, make, problem, new, fps","pretty mid, not as good as the hype says and doesnt hold up well years later"
28,0,0.5228,"read, control, continue, head, huge, spook, borderline, grenade, pew, review",I can't read the subtitles....
29,1,0.6476,"run, work, fix, even, issue, try, make, problem, new, fps",FPS problem (below 30) in any graphic setting and resolutions. 0/10
30,3,0.9383,"horror, time, enemy, feel, level, look, go, make, shoot, really","Pretty disappointed to be honest, after years of praise and hearing how amazing this game was I was genuinely excited to play this but after my playthrough I can't say this is an experience I will look fondly towards to.

I will start from some nit picks and will build up towards my biggest complaints here.

-Weapon models that aren't copy paste of real world weapons are terrible, they feel like slapped together parts of real and fictional weapons and  in general were really ugly.
-I don't know why but in the middle of the game my fram erate would drop to single digits for no god damn reason.
-Whenever I closed the game and re open it my key binds would go back to their default state which was really annoying
-There is a severe lack of environments, for the most part of the game you either fight in warehouses or office buildings,
-The scenery in this game also looks like it is a generation behind even for it's time, the blocky buildings with really bad shading just outside of the window of the building I am in looks really weird.
-Guns have that shaky feeling that it makes it look like my character purposefully shaking it to simulate recoil   which makes automatic weapons really frustrating to use

Now onto my biggest complaint, the story and the characters, the story is told through one of my least favorite method of storytelling, logs. I wouldn't mind them as much if fear had actual characters that I could get some exposition from, but characters in fear are utterly one dimensional tropes that barely have any screen time, whenever I thought I would get some time to get to know the Asian chick and black guy whose name I forgot some shit happens and they have to stay behind. The story is also pretty generic, a standard super soldier experiment gone wrong type of beat with a scare that was super generic even for its time. Overall I can not say I enjoyed this game as much as I would like to and left me with a bad taste in  my mouth, hope the second game will be better."
31,2,0.4853,"story, scary, buy, way, series, boring, repetitive, whole, make, first","Screw you WB games. I want to play FEAR., not all the other games in your trashy 55 dollar bundle cash grab!!!"
32,4,0.5512,"fear, buy, worth, well, even, great, sale, bundle, really, price","Fear: 6/10

EP: 7/10

PM: 6/10"
33,2,0.3839,"story, scary, buy, way, series, boring, repetitive, whole, make, first","I missed out on this one.  Would have been great to play when it first came out, way, way back in the day.  Now though, not so much.  I'd skip this one until a remake comes out eventually."
34,3,0.8136,"horror, time, enemy, feel, level, look, go, make, shoot, really",bland and repetitive. The entire game is just 'walk down dimly lit hallway and shoot the bad guy'.
35,3,0.7841,"horror, time, enemy, feel, level, look, go, make, shoot, really","Definitely did not aged well. Had a blast till Office/Laboratory levels where it gets very repetetive. And god, if I hear ""Hi, this is [Name] [Surname]"" one more time, I swear..."
36,1,0.6806,"run, work, fix, even, issue, try, make, problem, new, fps",Could not get it working properly. Very laggy and FPS spikey in a way that it is unplayable for me
37,3,0.9525,"horror, time, enemy, feel, level, look, go, make, shoot, really","I personally did not enjoy F.E.A.R, I found the game overall to be extremely dated, with the only redeeming feature being the alright story and a bit of the atmosphere. Although, the game does appear to be a favourite among a lot of people, and I'm sure in 2005 it would have been great, but for me personally I did not enjoy. I'm going to list a few of the issues that I had.

I will start by saying I was going into the game looking for a difficult challenge with some exceptional AI.

I will start with combat as I was really disappointed overall. A part of my issue was with the AI so I will talk about it in a different section as its a bit lengthy. The bullet time was cool but very strong, I decided to not really use it through most of the game until I just wanted to be finished, then I abused it through the last couple of chapters to move quicker as it made the game very easy. The enemies shots felt very disconnected between me taking damage and their visual bullets, but maybe I'm loosing my mind. Some weapons are much quieter than others, which at the start with my volume settings some of them were completely quiet (such as the sub machine gun or the rifle) especially compared to the pistol. Before increasing my volume settings there were times that I only noticed I was being shot from the visual bullets or taking damage. The player movement would slide on ramps (e.g., garage level section) and it was quite annoying.

I have separated out my section on AI as it is an area that a lot of people love, but my thoughts are that its okay. I see their intention with attempting to flank or outmanoeuvre my position or communicate with others, but the level design can be very linear making only one or two ways for them to file though to reach your position allowing you to easily pick them off even without any bullet time, especially if you pick your angles. For most of the game you can just hold an angle and then peek around. For larger sections which allow the AI room to breathe and attempt their manoeuvres if you shoot and then move, when you peek again they will be slightly delayed in their attack, and you can take out one or do some damage and then you repeat until the encounters over, or even just move to outflank them yourself. Maybe its my play style that doesn't mesh with the AI, but I'm very used to games where if you peek too far or if you peek so you see multiple enemies you will die. I think in terms of an AI that I was impressed with I would say Trepang2's AI is better or at least the level design allows for more AI freedom while restricting the players movement. If you are actually looking for a challenge I would recommend Trepang2.

The game overall was quite easy, even on the hardest difficulty. While I couldn't just run and gun everywhere, I could very comfortably hold my position take them out and then move on without much resistance. Enemies could very easily kill you, but it wasn't too difficult to take them out first. Managing health is also easy as you can replenish back to full health after each fight with ease with the numerous medkits around. I decided to only ever use a medkit when I picked up a new one to add some difficulty as you can carry around 10 on your person making fights a breeze if you allow yourself to use them when you get low. I would also recommend doing the same to increase the difficulty even slightly. 

I wasn't really immersed either in the game, which detracted quite a bit from my experience. All the levels just felt like labyrinths which made them not very believable as being an actual location, especially the office levels. A lot of the sections felt more like a unity office asset flip on a basic shooter level.

The game was also a little on the shorter side only taking 6.2hrs to complete looking at my playtime on steam. This included time wondering around the maps looking for voicemails, intractable laptops and the health/reflex boosters which at least for the health boosters I ended up grabbing the majority of as I reached 185hp or 17/22 boosters collected.

Not related to the game but it is quite unfortunate that the game is only available via a bundle as it meant that I needed to spend a little more than I would have liked, and now I own a number of other F.E.A.R games that I am unsure if I will play.

Overall it wasn't bad, its just not what I was looking for."
38,2,0.5268,"story, scary, buy, way, series, boring, repetitive, whole, make, first",I don't know if its me but I find this game extremely bland and boring. Gameplay is fine though
39,3,0.5993,"horror, time, enemy, feel, level, look, go, make, shoot, really","F.E.A.R. was probably not a bad video game when it came out in 2005, it just did not age very well. The gameplay is extremely repetitive and if it wasn't for the slow motion/bullet time effect, it wouldn't have anything original to offer (especially not with its basic, conventional story). And even though F.E.A.R. might try to sell itself as a horror game, keep in mind that it contains very few elements of horror; at least, not enough to satisfy the horror games aficionados. It is mostly about shooting the same enemies wearing different skins. But if you like old FPS games from early 2000, you still might want to give it a try."
40,3,0.3335,"horror, time, enemy, feel, level, look, go, make, shoot, really","got the package for 8 bucks on a whim... 
this is  I.N,C,R,E,D.I,B.L.Y laggy..  33 mins and that's enough for me. lol"
41,1,0.6797,"run, work, fix, even, issue, try, make, problem, new, fps",fps going down even at lpowest resolution not playable
42,1,0.723,"run, work, fix, even, issue, try, make, problem, new, fps","doesnt even run on newest hardware, Thanks Monolith!"
43,1,0.577,"run, work, fix, even, issue, try, make, problem, new, fps",Game is fun but stutters horribly on modern hardware. Nostalgia goggles cannot fix this.
44,2,0.5046,"story, scary, buy, way, series, boring, repetitive, whole, make, first","B-movie plot with a messy, inept narrative (constant use of identical flashbacks, poor characterisation). The gameplay consists of making your way through some of the dullest maps ever (gray everywhere) and alternately: shooting up a bunch of enemies and a horror sequence; all this at a snail's pace because the running in this game is absurdly slow. The ""horror"" elements, including the girl from the cover, are cliched and repetitive and barely ever actually scary.

To name a few positives: the sound effects are pretty good and the gunplay is somewhat satisftying.

After an hour I changed the difficulty to the lowest and breezed through to the end."
45,3,0.8474,"horror, time, enemy, feel, level, look, go, make, shoot, really",Game is ok. Mostly hallways. I kept getting stuck cuz the doors were blocked and sometimes I found a way and sometimes I didnt. I think this game is impressive techinically when it came out. I did play 3 and know you can play as the main bad guy in this one. After awhile of cat and mouse of finding the right door I gave up on it. It doesnt help that everything the same color.
46,3,0.8601,"horror, time, enemy, feel, level, look, go, make, shoot, really","Soooo am I the only one that thinks this isn't a horror game at all, but rather just a cookie-cutter action shooter that recycles the same 2-4 enemy types at you?

Don't get me wrong, the AI and ragdolls were impressive for their time and the first couple jumpscares were fun, but once you look past that you're left with a game that wants you to trudge through multiple nearly-identical shooting sequences just to reach an anticlimactic and VERY predictable ending that was about as terrifying as Boo from Monsters Inc.

I dunno... maybe I'm missing the nostalgia factor for this one. I just didn't enjoy it, and my takeaway is that it doesn't deserve the hype its fanbase gives it."
47,2,0.4767,"story, scary, buy, way, series, boring, repetitive, whole, make, first","As much as it is a horrifying game and very very tactical with its combat encounters, I got bored of it! Not much enemy variety, no different or colorful environments, not many guns, so few enemies during fights and the fact that it was already kinda hard on moderate difficulty just threw me off"
48,1,0.7419,"run, work, fix, even, issue, try, make, problem, new, fps","5 fps on modern hardware, avoid unless you feel like digging through files and modding to make it playable"
49,2,0.4323,"story, scary, buy, way, series, boring, repetitive, whole, make, first","It's fun until you get to the ED-209 clone, which can't be beat."
50,3,0.8727,"horror, time, enemy, feel, level, look, go, make, shoot, really","This game is impressive looking for the time, but ultimately it's hard to recommend. It's hard to get scared when you're packing so much heat, and the game is really padded. Each area could've been half the length."
51,3,0.8269,"horror, time, enemy, feel, level, look, go, make, shoot, really","Entire FEAR series is just BAD, only good thing about this game is the smart AI that can flank you and give you hard time. And the AI thing that i have mentioned is just apply's to the first game only."
52,3,0.7794,"horror, time, enemy, feel, level, look, go, make, shoot, really","Started off strong, shitty horror elements with decent gunplay and ai. Then it goes so booty mode I started croding I couldn't take that shit no more, game was easy asf on hardest difficulty no variation in challenge or interesting enemy types, the levels all look and feel the same, you could do a spin and you've suddenly lost your entire family and home because every environment looks like the same shit from 5 seconds ago. The absolute worst main villain ever, the shittiest comedic relief character that instantly made the game worse, Norton or Norman or whatever the fuck his retarded ass name is, stupid fucking ape monkey with his stupid fucking turret sequence, shoot turret, wait 400 seconds for it to stop shooting, shoot turret again, wait 400 seconds shoot again wait blah blah. There's so many guns introduced that you find 4 bullets for and never use again. Awful flashback horror sequences where you just stand still in a blurred environment and shoot the same creatures over and over again, you kill dracula body eater guy by one of these exact same sequences and it just happens and it's over, truly incredible stuff. The entire end chapter was the most brain numbing shitty sequence where silly little goobers come out of portals and run at you 12 times or something and it's just ass, boring backtrack segment, boring main villain, shit forgettable characters, shit story, shit game, decent ai that's about it."
53,3,0.7986,"horror, time, enemy, feel, level, look, go, make, shoot, really","The first hours of the game felt amazing, until it became way too repetetive until I just got bored and could not finish it"
54,3,0.6816,"horror, time, enemy, feel, level, look, go, make, shoot, really","Context: 2023 review of a 2005 game - never played it until 2023, so no nostalgia from me.

Overall, this is a linear shooter with some OK shooting and a nice slow-mo facility. Barks from the opposing forces are useful clues to their response to you, and it's nice that they seem to intelligently use grenades as a 'flush out' technique.

The actual story is a bit weird - welding together a fairly conventional shooter with some horror elements that fall fairly flat.
There's also a strange tonal inconsistency between the horror and a 'comedy fat guy' used as a plot device in several levels. The main pseudo-antagonist presented throughout the game died in a on one of the clumsy semi-cutscenes used to (attempt to) dump exposition - it was such a quick/strange story beat that I couldn't quite believe that it had happened with no apparent warning.

The game did also activate one of my pet hates: towards the end of the game, your arsenal of weapons, carefully curated/hoarded throughout the game is completely and arbitrarily removed. No need for this at all.

Overall, I sort of got the gist of the story, but found it largely muddy and unclear exactly what the details of what were going on were. Standard corridor shooter with bits welded on. It's a resounding 'this is ok-ish'. Will give the others in the series a go as already had them, but wouldn't prioritise this game as a buy."
55,1,0.7655,"run, work, fix, even, issue, try, make, problem, new, fps","Game won't play...I installed it and after a few logos when the game is starting up, it goes to a blank screen."
56,4,0.4333,"fear, buy, worth, well, even, great, sale, bundle, really, price","I can't recommend the first FEAR game, if you play for longer than 20 minutes the frames drop to sub 10, which is basically unplayable for me at least."
57,3,0.8609,"horror, time, enemy, feel, level, look, go, make, shoot, really","It hasn't held up that well in my eyes, since it doesn't do anything that I haven't seen before. F.E.A.R. gameplay is about walking slowly, having a button to slow time down & shooting humans with maybe 10 different guns & 3 grenade types. Sometimes you get a flashback where you slowly walk & enemies that die in 1-2 bullets run at you.

If you ever hear people say it was ahead of it's time I'm not sure I agree, since there are games like Half-Life & Deus Ex that released 5 years before. This is a step back from something like Half-Life 1 overall: The level design is more linear & less thought out, and there's a lot less gameplay variance in general. 

I enjoyed the final parts of FEAR: higher enemy variance, higher enemy count, more weapons to use, more scripted action sequences & story being more densely packed. Even the beginning hour wasn't too bad since it was teaching you the mechanics. 
It's really only the middle part that doesn't impress with it's lack of story & fighting the same enemies nonstop for about 3 hours.

To anyone who's gonna buy this game: Look at the steam discussions for a fix on fps dropping. I have a good pc but after like 5 mins of gameplay I was looking at 10 fps until I downloaded & added something to the game files."
58,3,0.3391,"horror, time, enemy, feel, level, look, go, make, shoot, really","less than 30 fps
"
59,0,0.2,"read, control, continue, head, huge, spook, borderline, grenade, pew, review","more like First Crash Ass Recon

FCAR"
60,4,0.8032,"fear, buy, worth, well, even, great, sale, bundle, really, price","Ehhhh did not age well, runs like crap even on brand new gaming laptop which runs any other game on max settings, this game runs at 15 fps top and wont even support proper controller support, and frankly aged poorly, it's been so long since I've played this originally it just did not age well at all, original half life runs better than this.

Not even worth the 8 bucks I spent and getting my money back it's a franchise that has been abandoned long ago at this point and no workshop for mod support to perhaps improve the games."
61,1,0.4765,"run, work, fix, even, issue, try, make, problem, new, fps","Slide show FPS!

3 hours not playing & just searching for solution in settings & my system just to discover it's the game itself. Even after using the community solution which dramatically resolve the issue, unfortunately, it's temporary and only lasted for 3 mins.

The FEAR Complete Pack is worthless unless I can play the original. Might as well refund the game & watch the series on YouTube.

Classic game with great story & unforgettable gameplay ruined by bad maintenance."
62,4,0.6086,"fear, buy, worth, well, even, great, sale, bundle, really, price","I love this game actually
Some horror elements, alot of action etc., but we all know that.

My gripe with this game is the horror. The most horrific thing in this game is the fact that you have to buy the overpriced bundle to even get one of the games or DLCs even. 

Don't buy it unless you get it for like $5."
63,3,0.4226,"horror, time, enemy, feel, level, look, go, make, shoot, really","""Horror"""
64,4,0.5833,"fear, buy, worth, well, even, great, sale, bundle, really, price","Despite the fact fear 1 is an amazing game, The people running the company made me have to leave this review by making it only available through a $50 bundle"
65,1,0.5554,"run, work, fix, even, issue, try, make, problem, new, fps",Not in a playable state
66,4,0.5727,"fear, buy, worth, well, even, great, sale, bundle, really, price","First off, let me start this by saying that the F.E.A.R. games themselves are not bad by any means. They're very fun and I'd say they're worth it if you like horror but love some action too. 

The negative part of this review is the fact that you can only acquire these games via this bundle. That wouldn't be so bad if you had the option to purchase each individual game, but you can't. I had to drop 50 bucks on this bundle just so I could play the first game and the expansions. (I do plan on playing F.E.A.R. 2 but not 3, unless I have a friend to play with.) Not everyone is so willing to blow 50 bones on a bundle of games they might not even like. Bring back the ability to purchase each game individually so more people can enjoy your game."
67,1,0.8544,"run, work, fix, even, issue, try, make, problem, new, fps","Game is broken on modern PCs.
Runs at 15-20 fps with an i7 13th gen cpu and an RTX 4080.
There are guides on how to clean the game up and possibly fix this, but they look time consuming so I haven't tested them myself."
68,3,0.3664,"horror, time, enemy, feel, level, look, go, make, shoot, really","Its fine. I understand why people like it so much but I just think its a product of its time. Now that the slow-mo effect doesn't look as cool as it used to its just a fine shooter. Nothing more.

HOWEVER: I have no idea why you have to buy the entire bundle to play this game, i bough it really cheap for a sale but its like really expensive by default? Total nonsense and why i leave a negative review."
69,4,0.6726,"fear, buy, worth, well, even, great, sale, bundle, really, price","It was worth it when the games were separate, now it's just a bad deal."
70,4,0.7239,"fear, buy, worth, well, even, great, sale, bundle, really, price","Great game. Go buy a key though, F them for forcing you to pay 60 dollars games as old as these. 2 is mediocre compared to 1, and 3 is just bad."
71,3,0.6477,"horror, time, enemy, feel, level, look, go, make, shoot, really","Fantastic atmosphere and map design, but horrible gameplay. Its incredibly repetitive, and absolutely no change in pace whatsoever. The gameplay cycle follows:
meet up with the two same people that you assume are important --> fight bad guys alone for 30 minutes --> repeat.

I did that for 3 hours and realized there was no story to follow and can just finally move onto the next game.

There were always loads medkits and armor laying around where there was no need for it, but when I REALLY needed them, no where to be found. 
Some of the guns were god awful, mostly the speargun thing. 
Around the 3 hour mark, you find a new gun on the roof of Armachan, but the new enemies you fight are just carrying every gun BUT the new one you just found, so you get to use it for a total of 5 seconds before it runs out of ammo and shocker, these guns aren't found anytime after that.  

Just hoping the 2nd game learned from this one and isn't as bad."
72,3,0.7263,"horror, time, enemy, feel, level, look, go, make, shoot, really","The vast majority of the game is good, but the last 2 missions are so bad it ruined the game for me. I haven't looked it up, but it really seems like they either ran out of time or money. 

The enemy AI is lauded nearly universally, and I can kind of get it. But I felt very whelmed when I actually started playing. I thought they were supposed to be smarter than this. Not to worry though, the last 2 missions completely throw away all of the good combat as well. Instead of interesting arenas with enemies that are at least competent, you just fight rooms full of grenade-spamming soldiers, robots that do way too much damage and take way too much damage to destroy, and hordes of ghosts that sometimes automatically trigger slow-mo and sometimes don't. Unless you're really invested in the story, just stop playing once you complete Interval 9. You've already seen everything that the game has to offer you, and you'll avoid the sour taste that I now have in my mouth because of how atrocious the last couple levels are. 

Developers need to understand that what they absolutely need to land are the beginning and the ending of a game. There can be a disappointing section in the middle, but you cannot just not make the ending of the game until the end of the development cycle. It flopped so hard. 

If those levels didn't exist, solid 8/10 game. With those levels in mind, 4/10. 

If you have trouble running it, set it to windows 7 pack 2 or windows xp pack 3 compatibility mode, and check the box for 'disable fullscreen optimizations'. To do this, you find the game's .exe in its folder > right click > properties > compatibility."
73,3,0.7647,"horror, time, enemy, feel, level, look, go, make, shoot, really","More like Y.A.W.N.

You.
Always. 
Want.
No more of the same variation of hallway/office/sewer/abandoned building filled with the same painfully generic enemies and unsatisfying gunplay randomly interspersed with bouts of psychological horror so brief it may as well have never happened."
74,1,0.8651,"run, work, fix, even, issue, try, make, problem, new, fps","Now too broken to run reliably on Windows 10, even with compatibility changes. Needs an update to run on modern systems, but it is unlikely that will happen."
