document_no,dominant_topic,topic_perc_contrib,keywords,text
30,3,0.4367,"really, feel, make, well, much, gameplay, great, alien, story, thing",Highly overrated. Mid. poor map. poor design. Dragged out ending. Too frustrating to be horror.
31,1,0.4943,"alien, time, go, hide, see, run, walk, first, save, back","Game for knitters, people acting like this revolutionized the gaming industry, worst walking simulator ever. If you like this, get help"
32,1,0.5609,"alien, time, go, hide, see, run, walk, first, save, back","It's the save system for me that ruins it for me. It's a great game and definietely gives you a sense of dread with the alien following you around and you have to stay on your toes to hide. But.. when you lose 30 mins of progress because you can't find a damn save terminal and have to do it ALL OVER AGAIN.  I just lost interest at that point. I want to play this game, I think it has great atmosphere, but for a Dad like me, I just don't have time to keep repeating stuff over and over. 

One last thing, I SWEAR that alien is tethered to me. Even if I feel like I escaped without a sound or it knowing, it ALWAYS showed up in the next area no matter what. It just felt like the alien always ""knew"" where I was.  bummer

Unfortunately  I have to pass."
33,0,0.6253,"bug, work, crash, fix, review, buy, issue, break, try, problem",The game really needs to have an option to turn off the camera bob when walking. It made my partner and I both motion sick and rendered it unplayable.
34,3,0.705,"really, feel, make, well, much, gameplay, great, alien, story, thing",really enjoyed sigourney weavers beaaver in alien (1979) however there are no beavers in alien: isolation (2014)
35,0,0.2,"bug, work, crash, fix, review, buy, issue, break, try, problem",The Xenomorph
36,1,0.9219,"alien, time, go, hide, see, run, walk, first, save, back","Found this incredibly boring as soon as the alien gets introduced. Gameplay goes as follows. Crouch your way into any room, hear heavy footsteps that are getting closer. Hide in the closet. The alien will always come and check the room you hid in, keep holding your breath for like a minute till the thing goes through it's ritual and eventually goes away. Attempt to crouch out of the room and hear the thing going back towards you. Get back to the locker, watch the alien sniff the room again, hold your breath, get out of the locker. 
If you've got the patience to keep doing this for however many hours this game lasts then play it.
I've got around 500 other games in my library that don't test my patience like this."
37,3,0.7987,"really, feel, make, well, much, gameplay, great, alien, story, thing","Personally, I did not enjoy it
It has a good sense of style, and manages to capture that retro ""Aliens"" feel
The horror aspect is also handled well, and the game demonstrates good pacing in building tension/suspense during play

However, for me, it overstayed its welcome
There were a number of points within the game that just seemed to pad the runtime, with the next objective always being ""close but so far away"" and often for fairly whimsical plot reasons
While the game play was enjoyable, at first, the Alien quickly became a mere obstacle, and then simply an annoyance that stopped me from getting on with the story

I paid $30AUD I think. I dont regret playing, but I wouldnt play again"
38,1,0.744,"alien, time, go, hide, see, run, walk, first, save, back","Looking back at this in 2024 its incredible how far game design has come. If you have the patience to replay the same tedious mission for an hour straight, only to die and wait 5 minutes for the same dialogue to finish just to die and do it all again, then this game is for you. Spent an hour+ trying to beat the first alien section, had to turn the difficulty down. Unbelievably tedious, absolutely killed the immersion set up in the first hour of the game. It's a really bad sign when the one part of the game that's supposed to be the selling point, the alien, absolutely kills the fun and immersion and ruins the game. At least for me, totally not worth the money."
39,1,0.6763,"alien, time, go, hide, see, run, walk, first, save, back","When I die in a game, but I know what I need to do to survive next time, I do that thing.
When I spend 15 minutes crawling through 2 hallways just to die because the AI ignores my ""distractions"" and isn't killed by my ""weapons"" I just play a good game instead."
40,0,0.442,"bug, work, crash, fix, review, buy, issue, break, try, problem",Buggy as Hell...and im not talking about the Zeno's!!! Otherwise meh.
41,1,0.7722,"alien, time, go, hide, see, run, walk, first, save, back",shit was boring asf. nothing fun of back tracking half the damn time doing the same thing over and over
42,1,0.6986,"alien, time, go, hide, see, run, walk, first, save, back","BORING

1.5 hours and i have not seen an alien. you just walk around opening doors and climbing through vents. The game's interface mechanics (like power re-routing) are not explained at all."
43,1,0.6446,"alien, time, go, hide, see, run, walk, first, save, back","so far the only threat is people with guns, i was told this is an alien game yet i cant even find the alien because i cant get past the part where you pick up the hacker device, they somehow always know where you are even when crouching, waste of my damn money"
44,1,0.5335,"alien, time, go, hide, see, run, walk, first, save, back","It is boring, it is chore,  it is just a waiting game (for enemies to finish animations).
If you die, you spawn exactly at the check-point, even if you already were two loading screens further from the checkpoint.
You have to backtrack up to 3 times each location.
Alien Colonial Marines with fixed AI is much, MUCH better. 
before super-mega veterans with madskillz say git gud: I never hide in lockers, I know how AI in this game works.
It is just boring, there are not much interactions possible within the game except door opening and hiding.
you get punished for everything else.
It must be mentioned: the weapon interface, actually whole inventory interface is straightout trash."
45,3,0.6216,"really, feel, make, well, much, gameplay, great, alien, story, thing","Tedious is the best way to describe this game. 

Amanda is a likable character, they get the Alien Franchise aesthetic well, and at the beginning, I was genuinely enjoying the horror aspect.

Yet as the game continued it was the same button prompts, the same ""Oh they stopped you now do this"" or ""Oh no, you got captured not you have to return."" The game could've taken at least 5 hours worth of content out and it would've been fantastic. The aliens and androids lost their shock too soon. I still remember asking myself in the spacewalk outside to realign some satellites, ""Why is THIS in the game? What is it trying to accomplish with this long tedious segment?"" The game lost me. The ending was pretty terrible too. 

If you want it, wait for a sale, but I can't recommend it."
46,0,0.4039,"bug, work, crash, fix, review, buy, issue, break, try, problem",FOV Scaling sucks.
47,3,0.4902,"really, feel, make, well, much, gameplay, great, alien, story, thing","Basically Amnesia in space. These styles of games are cool if you love Pewdiepie or are some zoomer who likes to pretend to be scared so you can hope to make a viral tiktok.

Cant turn off head bobbing. Erratic camera movement. Clunky walking. Makes me motion sick beyond belief.

It is a chore having to walk back and forth over and over looking for stuff to progress the game.

Game has amazing graphics yes.

Game is horribly designed and not fun."
48,1,0.4004,"alien, time, go, hide, see, run, walk, first, save, back",axel keeps running into the enemies and getting his brains blown out.
49,1,0.3633,"alien, time, go, hide, see, run, walk, first, save, back","I had to change my review for this game, the amount of TIMES i been killed by the alien just the way the devs made the AI for it to stay AS CLOSE to the player as possible and not give the player a change to explore the horrible map. As much i want to keep playing i am just STUCK at mission 5 the game used to be scary/horror for me but god the amount of times i been killed just makes the alien annoying and just not fun, the only fun bit i had with the game is when the alien wasn't out."
50,0,0.513,"bug, work, crash, fix, review, buy, issue, break, try, problem","I really wanted to play the game but the wobbly camera, low FOV and sticky walking are the perfect recipe for motion sickness."
51,3,0.91,"really, feel, make, well, much, gameplay, great, alien, story, thing","I would like to give this a ""Mixed"" review but since Steam lacks that, ""Not Recommended"" will have to do.

Some good stuff first:
• Great graphics, they hold up well.
• Great atmosphere (first few hours).
• Responsive controls.
• Interesting narrative in the first half of the game.

What it completely fails at is maintaining a good balance between tension and cooling off time. Any horror classic or even just your average well made horror game, the loop is typically that of the atmosphere building some sense of dread, then you get monster encounters/ chases or scares and then you have your cooling off sections where you can roam around, find stuff, learn more about the story and the world, do puzzles and whatnot. That is an essential part of good horror games, at least for me.

In Isolation, either I got extremely unlucky and the xeno AI really had it out for me or that loop is entirely absent. Couldn't move anywhere without crouching or at any moderate speed or the creature and its insta-kills showed up immediately. Insta-kills, as countless poorly made horror games (mostly indies) have shown over and over again, absolutely destroy any semblance of immersion. After getting caught by it several times, I got so over it that I just turned indifferent to any kind of scares, I found myself playing your average keyhunt indie ""horror"" experience and the only reason I continued on with it was for the 100%.

Also, the game drags on incredibly hard after the first 5 hours or so. It feels like half of the game is just padding, like it should end at around half the playtime you can get with it but it just keeps going on.

For people like me that value a scary horror game over an overly stressful and even exhausting one, I would not recommend Alien: Isolation. Buy Outlast 1 or Amnesia: The Bunker instead, they are better than this game in every possible way."
52,3,0.4989,"really, feel, make, well, much, gameplay, great, alien, story, thing","I'm a big fan of the survival horror genre, stealth games like the Thief trilogy, and immersive sims like Deus Ex, System Shock 2 and Prey. Alien: Isolation should have been right up my alley - it captures the atmosphere of being on a ship like the Nostromo, but that's about the only positive thing I can say about the game.

Imsims are about player choice - finding ways to solve a solution that even the developers didn't realise was possible. A good example is locked doors. Most games, you can only progress by finding the key to the door. With imsims, you can find a key, blow up the door, trick someone into opening the door for you, or find a way to bypass the door altogether. With Alien: Isolation, you turn on generators and find keycards - that's it, and it is very repetitive.

After three hours of this repetition, I finally came across a threat: the survivors trying to open a door who open fire on you. The stealth is not like other stealth games. Expect to be hiding in vents a lot, while the alien kills everyone for you if they fire their gun. 

I've read lots of complaints about the alien too, that it is always on top of you, so you die a lot breaking the immersion. This isn't good for survival horror. So the solution is to play on easy mode or install a patch that makes the Alien A.I. behave differently. This is not good when hard mode is touted as how the developers intended for the game to be played.

The game is also way too long. Even the biggest fans of the game agree with this point. Outlast - a very different kind of game - can be completed within 90 minutes when you know what you are doing. Sometimes short and sweet works better for horror than to drag the game on and on. Alien: Isolation should have been condensed, especially considering the gameplay is very repetitious.

If you are a big fan of the alien franchise, buy this game on sale. Otherwise - don't believe the hype."
53,0,0.526,"bug, work, crash, fix, review, buy, issue, break, try, problem",Creative Assembly and SEGA are both awful companies.
54,1,0.6453,"alien, time, go, hide, see, run, walk, first, save, back","I'm sure this game is great if you like that sort of thing, but with the maze-link level design, the endless waiting for androids or alien to move, only to be spotted by something you didn't notice, instantly killed, and then have to do it all very slowly over and over and over again. It felt to me like a pointless exercise in frustration and I didn't enjoy it one bit. Uninstalled and won't be playing it ever again."
55,3,0.7021,"really, feel, make, well, much, gameplay, great, alien, story, thing",Its a well made game and all but I personally did not find it enjoyable.
56,2,0.3308,"enemy, make, gun, player, system, human, save, kill, weapon, level","I got this for less than $8 through Humble Bundle and still feel scammed.

It's not a terrifying or nerve-wracking cat and mouse game where you try and survive what feels like a helpless escape from the Alien. It's an absurdly slow-paced hide from a crazy crew with guns who will 2-3 shot you on sight stealth game. I had heard such good things about this game, only to be EXTREMELY let down by all the unnecessary stealth mechanics involving PEOPLE, not the ALIEN.

Should be called HUMAN: ISOLATION"
57,3,0.2742,"really, feel, make, well, much, gameplay, great, alien, story, thing","too scary, I shit my pants"
58,3,0.4566,"really, feel, make, well, much, gameplay, great, alien, story, thing","The game is very scary but extremely tedious. You're crouching around half the map because if you make too much noise, the alien will spawn in behind you and kill you. So pretty much you trial and error sections until you get past the dumb thing, but you need to crouch walk back to where you died. Its slow, feels gameplay padded to rack up the play time, and you're spending 90% of the game crouching around with a radar out. Its a shame, because if this game was shorter and didnt force the alien to be in every situation it would've been enjoyable, but instead its frustrating asl."
59,1,0.5547,"alien, time, go, hide, see, run, walk, first, save, back","Boring as hell, only defeated by the walking simulator Alan Wake"
60,0,0.6102,"bug, work, crash, fix, review, buy, issue, break, try, problem","Possibly a great game, but the inability to disable the annoying head bob (which gives me nausea) prevented me from trying it out."
61,1,0.6729,"alien, time, go, hide, see, run, walk, first, save, back","First hour: flipping switches and looking for the one door that opened
second hour: getting shot without having a clue why

Waste of time."
62,1,0.6667,"alien, time, go, hide, see, run, walk, first, save, back",They nailed the atmosphere but the level design is shitty and confusing. I just kept getting lost on the medical facility level and had to keep pulling up the map trying to figure out where to go. The alien just hovers around you the entire fucking game and you will get killed if you stay in one spot for too long. You're most likely going to die over and over again even on normal mode. The game isn't scary and just more frustrating if anything.
63,1,0.4475,"alien, time, go, hide, see, run, walk, first, save, back","didn't like this game here's why

*REPETITIVE - going a to path b solving a puzzle pushing a button to activate a door (your gonna do this the whole gome) nothing interesting

*UNFAIR - trail and error more than a survival horror game - sometimes ur gonna die unfairly because the alien spawns behind u or its right in ur path I died easily like 70 times or more on medium difficulty.

*UNNECESSARY LONG - Why creative assembly make this game so long ? there's isn't much things do to or experiment this has no sense this could be easily a 9hrs game with no rush again for being super repetive doung the same thing again and again.

ENDING WAS DISAPPOINTING - the only reason that I managed to complete this game is because I wanted to see the endinng a final epic cinematic not gonna spoiler but I thought I got the bad ending so I looked at youtube for the true ending and I just realized that was the real ending lol

FINAL THOUGHTS 
overrated game I attribute this because we  never had a decent alien game and that is why people liked but it is not at a 10 out of 10 game it could be 7.5 - 8 if u ask me.

A better alternative to this game if u wanna experience a real survival horror game: DEAD SPACE
"
64,3,0.5017,"really, feel, make, well, much, gameplay, great, alien, story, thing","This game was bought for me, despite my protests, and repeatedly saying that I had the game for free on Epic Games! I was forced to endure this terrible cat and mouse experience that is Alien Isolation. I did not like this game, but everyone who saw me play it seemed to enjoy my suffering. The only fun part about this game for me was the beginning where all the interactions with the ""Alien"" was scripted, and even then I did not want to play the game the way the game intended for me to play. The ended was way too long for my feeble mind!

I choose to never play this game again, at least in this lifetime. Once is enough.
"
65,3,0.3943,"really, feel, make, well, much, gameplay, great, alien, story, thing","Just finished alien isolation after 14.8 hours and the game is a steaming pile of hot garbage. Feels like the team had to meet a length quota and just hamfisted run this way then all the way back for the last 4 hours. Totally disappointed. Devs should be ashamed. The Ending.? Lol

You guys had us take an elevator. To a tram, to take another elevator... WHY?! why didn't the first elevator take us? Why time sink us and hamfist an alien hide scene? Also the breath glitch while hiding where she just fucking yoinks and kills you from cross room? Cmon ffs.

Removing the alien for effectively 1/3 of the game killed pacing and almost made me quit. Human and androids just aren't scary. Threatening. Or fun. Except in the android graveyard room and they fumbled the bag by not having more jumpscares.

Gun combat is so terrible it should be a war crime. Enemies don't miss and shoot through objects, while shooting an enemy who is standing still - clips invisible walls.
The androids were great, but literally not even a threat. You can out slow walk them. Fuckin lol.

The game started out so well and was visually pleasing even today almost all the way through
The decisions to not include music late game during emotional scenes fully knocked the game down several pegs in ranking.
The space walking scenes? ARDUOUS and uninteresting for no reason.

From what I read, the only REAL ending is in one of the DLC's - And just re-uses the main ending... Pathetic guys.
Had I not been paid to play this, I'd be asking for my money back.
HOW is it STILL $40"
66,2,0.5006,"enemy, make, gun, player, system, human, save, kill, weapon, level","The game has all the hallmarks of a compelling stealth survival horror game, but it's undone by insufficient designer signposting which leads to ""die and retry"" immersion-breaking repetitiveness.

This game is a departure from the rest of the Alien/Predator video game franchise, as it's a slow-paced, careful game with heavy emphasis on collecting resources, avoiding combat, and exploration to find smart solutions not violent solutions. There's a crafting mechanic, as well as a focus on line-of-sight avoidance. Amanda Ripley's own backstory with her missing mother Ellen is wonderfully told, and the opening sequences let the player experience an interplanetary longhaul cryo-journey from Amanda Ripley's viewpoint.

The game is fairly linear, with set pieces in its NPC encounters and pacing. For the most part, this is a good thing, as the game tends to limit the chances for barking up the wrong tree, simply by its linear design (""this food kiosk that you just opened up when you restored power, has the key to your next progress, although you may need to search around a bit inside"").

However, one problem with linear design and scripted confrontation bottlenecks is, if the designers make one encounter a bit too obscure, it can bring the entire narrative momentum to a screeching halt.

I had a game-ending problem fairly early in the game, around Mission 3, where the game channels you into exploring a large stairwell foyer area. A scripted sequence features a woman firing two shots at you. Then an item pickup will trigger a manhunt for you, with the manhunt being quite unforgiving if played on Hard difficulty (the game's own recommended difficulty setting).

The scripting for this encounter is fairly pedantic, somewhat arbitrary, and I think perfectly encapsulates the game's limitations when it comes to encounter writing. These facts I largely found by Googling and watching Youtube, after learning that many other gamers had this problem at this point in the game:

1) I never realized that the game gives you an artificial grace period: the enemies will actually wait until you pick up a certain device before they start looking for you. After dying and retrying a few times, I came to believe that they'd look for you immediately after the woman runs away. With this belief, I favored retreating and trying to lure the humans out into the T-junction, which isn't a good tactic. At one point I believed I was actually sequence breaking and trying to finish an area incorrectly when I had missed something important, like a gun or door opener or something. This was not true either, and some better narrative signposting might have helped.

2) I never noticed the rewire nodes in the main stairwell, because - as mentioned above - I thought all the humans were coming after me immediately after I was detected and therefore discounted any exploration solution in favor of an urgency solution. The furthest I ever got was up one staircase and into an iris vent, but that just leads to another locked cargo room with a few unhelpful supplies, further reinforcing the ""designers don't want you to do this but there's no clear indication what they DO want you to do"".

3) The game recommends playing on Hard difficulty, so I did. This encounter might be a lot more reasonable on lower difficulty levels.

Eventually I caved and looked up the solution online, which seems to be very particular (""hide exactly here, go there at exactly this time""). Basically the designers expected you to read their mind for what solution they thought you should stumble upon, instead of provide any in-game indication of what they wanted.

I realized I was having more fun watching the Youtube runthrough than I was actually playing the game, and at less than 3 hours in, I've asked for a Steam refund and I'm just going to watch the game on Youtube. If the designers put an unavoidable bottleneck challenge into the game's main plot arc, and numerous people found this unreasonably difficult, it's probably better to just save yourself the cost of this game and watch somebody else play it for free.

(In its defense, watching somebody play this game will still probably make for a better movie experience than Alien Resurrection.)"
